Date,Adj Close,Volume
2023-03-02,107.4737319946289,1075000
2023-03-03,109.7264633178711,1136300
2023-03-06,110.78998565673828,1733500
2023-03-07,107.580078125,1635400
2023-03-08,108.91432189941406,1006100
2023-03-09,107.62842559814453,1683900
2023-03-10,101.54700469970703,2991500
2023-03-13,103.10362243652344,4172100
2023-03-14,104.22834777832031,2778400
2023-03-15,104.31637573242188,2879800
2023-03-16,105.77363586425781,2387900
2023-03-17,105.7931900024414,7687800
2023-03-20,105.20637512207031,2835800
