Date,Adj Close,Volume
2023-03-02,150.31724548339844,846300
2023-03-03,153.54400634765625,755500
2023-03-06,153.21636962890625,777300
2023-03-07,151.71717834472656,926500
2023-03-08,151.37960815429688,1518300
2023-03-09,149.0861358642578,965200
2023-03-10,144.75730895996094,1048800
2023-03-13,142.4241180419922,1021500
2023-03-14,144.61831665039062,922000
2023-03-15,139.326416015625,1494200
2023-03-16,139.7533416748047,1068100
2023-03-17,135.59332275390625,1575100
2023-03-20,139.13778686523438,1690000
